-00:00:01.5560000		Yoo Rose casts Ruin III on Ramuh
00:00:27.3710000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:27.4590000		Demi-Bahamut prepares Akh Morn on Ramuh 36669
00:00:27.5040000		Blue Fever prepares Pitch Perfect on Ramuh 21242
00:00:27.5480000		Minju Rose Attack Ramuh 4606
00:00:27.5480000		Dan Tam prepares Attack on Ramuh 3410
00:00:27.8160000		Ramuh Unknown_4Bc9 Minju Rose 27647
00:00:27.9050000		Demi-Bahamut Wyrmwave Ramuh 8836
00:00:27.9500000		Yoo Rose prepares Ruin III on Ramuh 12085
00:00:27.9940000		Demi-Bahamut prepares Wyrmwave on Ramuh 9851 (DIRECT HIT)
00:00:27.9940000		Aihyooni Yoomi prepares Ruin II on Ramuh 20270 (CRITICAL)
00:00:28.0840000		Dan Tam Attack Ramuh 3410
00:00:28.1280000		Minju Rose prepares Circle Of Scorn on Ramuh 3952
00:00:28.1730000		Aihyooni Yoomi Broil III Ramuh 18028
00:00:28.2620000		Dan Tam prepares Gust Slash on Ramuh 12779
00:00:28.3070000		Blue Fever Burst Shot Ramuh 11249
00:00:28.3070000		Blue Fever Pitch Perfect Ramuh 21242
00:00:28.3520000		Demi-Bahamut Akh Morn Ramuh 36669
00:00:28.3960000		Dengue Fever Glare Ramuh 20444
00:00:28.5750000		Yoo Rose prepares Ruin IV on Ramuh 24736 (DIRECT HIT)
00:00:28.5750000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:28.6190000		Yujin Ahn prepares Maim on Ramuh 8795
00:00:28.6630000		Dan Tam Gust Slash Ramuh 12779
00:00:28.7530000		Yoo Rose Ruin III Ramuh 12085
00:00:28.7530000		Aihyooni Yoomi prepares Energy Drain on Ramuh 14995 (CRITICAL)
00:00:28.7980000		Minju Rose prepares Goring Blade on Ramuh 13031
00:00:28.8860000		The limit break guage has been updated to 1700. 3 bars are available.
00:00:28.9310000		Aihyooni Yoomi Ruin II Ramuh 20270
00:00:29.0200000		Demi-Bahamut Wyrmwave Ramuh 9851
00:00:29.1540000		Minju Rose Circle Of Scorn Ramuh 3952
00:00:29.1540000		Ramuh gains Circle Of Scorn from Minju Rose
00:00:29.2430000		Yujin Ahn Maim Ramuh 8795
00:00:29.2880000		Blue Fever prepares Shot on Ramuh 4848 (DIRECT HIT)
00:00:29.2880000		Minju Rose prepares Attack on Ramuh 5442 (CRITICAL)
00:00:29.2880000		Yujin Ahn prepares Onslaught on Ramuh 5030 (CRITICAL)
00:00:29.3330000		Minju Rose Goring Blade Ramuh 13031
00:00:29.3330000		Ramuh gains Goring Blade from Minju Rose
00:00:29.3330000		Blue Fever prepares Burst Shot on Ramuh 20408 (CRITICAL)
00:00:29.3330000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:29.3770000		Yoo Rose Ruin IV Ramuh 24736
00:00:29.3770000		Yujin Ahn prepares Attack on Ramuh 6180 (CRITICAL)
00:00:29.5110000		Demi-Bahamut prepares Wyrmwave on Ramuh 7625
00:00:29.5110000		Minju Rose prepares Requiescat on Ramuh 23749 (CRITICAL)
00:00:29.5110000		Minju Rose gains Requiescat from Minju Rose
00:00:29.6900000		Dengue Fever prepares Glare on Ramuh 19611
00:00:29.7340000		Dan Tam prepares Attack on Ramuh 5842 (CRITICAL)
00:00:29.7790000		Aihyooni Yoomi Energy Drain Ramuh 14995
00:00:29.7790000		Ramuh Impact  0
00:00:29.8230000		Minju Rose Attack Ramuh 5442
00:00:29.8230000		Ramuh Impact  0
00:00:29.9130000		Yujin Ahn Onslaught Ramuh 5030
00:00:29.9130000		Yujin Ahn Attack Ramuh 6180
00:00:30.0470000		Blue Fever Shot Ramuh 4848
00:00:30.0470000		Ramuh Impact  0
00:00:30.1360000		Minju Rose Requiescat Ramuh 23749
00:00:30.1360000		Ramuh Impact  0
00:00:30.1360000		Yoo Rose gains Surge Protection from 
00:00:30.2700000		Dan Tam Attack Ramuh 5842
00:00:30.2700000		Minju Rose prepares Spirits Within on Ramuh 6661
00:00:30.3590000		Dan Tam prepares Aeolian Edge on Ramuh 18125
00:00:30.3590000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:30.3590000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:30.4480000		Run Escape prepares Ruin III on Ramuh 27983 (CRITICAL)
00:00:30.4930000		Demi-Bahamut prepares Wyrmwave on Ramuh 10937 (DIRECT HIT)
00:00:30.5380000		Demi-Bahamut Wyrmwave Ramuh 7625
00:00:30.5380000		Aihyooni Yoomi prepares Ruin II on Ramuh 13289
00:00:30.8050000		Blue Fever Burst Shot Ramuh 20408
00:00:30.8940000		Dan Tam Aeolian Edge Ramuh 18125
00:00:30.9820000		Dengue Fever Glare Ramuh 19611
00:00:31.0720000		Yoo Rose prepares Ruin IV on Ramuh 19559
00:00:31.1160000		Demi-Bahamut prepares Wyrmwave on Ramuh 9832 (DIRECT HIT)
00:00:31.1610000		Minju Rose Spirits Within Ramuh 6661
00:00:31.1610000		Run Escape prepares Ruin IV on Ramuh 42885 (CRITICAL)
00:00:31.2060000		Minju Rose prepares Holy Spirit on Ramuh 13671
00:00:31.2060000		Yujin Ahn prepares Storm's Eye on Ramuh 11254
00:00:31.2500000		Run Escape Ruin III Ramuh 27983
00:00:31.4740000		Aihyooni Yoomi Ruin II Ramuh 13289
00:00:31.5180000		Demi-Bahamut Wyrmwave Ramuh 10937
00:00:31.5630000		Minju Rose prepares Attack on Ramuh 2174
00:00:31.6520000		Dengue Fever prepares Dia on Ramuh 7963
00:00:31.8770000		Yoo Rose Ruin IV Ramuh 19559
00:00:31.8770000		Yoo Rose prepares Tri-Disaster on Ramuh 37372 (CRITICAL)
00:00:31.8770000		The limit break guage has been updated to 1870. 3 bars are available.
00:00:31.8770000		Ramuh gains Bio III from Yoo Rose
00:00:31.8770000		Ramuh gains Miasma III from Yoo Rose
00:00:31.9210000		Dan Tam prepares Attack on Ramuh 3611
00:00:31.9660000		Minju Rose Holy Spirit Ramuh 13671
00:00:31.9660000		Run Escape Ruin IV Ramuh 42885
00:00:32.0120000		Demi-Bahamut prepares Wyrmwave on Ramuh 10200 (DIRECT HIT)
00:00:32.0120000		Blue Fever prepares Refulgent Arrow on Ramuh 15578
00:00:32.1010000		Minju Rose Attack Ramuh 2174
00:00:32.1450000		Demi-Bahamut Wyrmwave Ramuh 9832
00:00:32.2810000		Run Escape prepares Swiftcast on Run Escape 
00:00:32.2810000		Run Escape gains Swiftcast from Run Escape
00:00:32.3700000		Blue Fever prepares Shot on Ramuh 3932
00:00:32.4600000		Dan Tam Attack Ramuh 3611
00:00:32.4600000		Dan Tam prepares Spinning Edge on Ramuh 8568
00:00:32.6830000		Yoo Rose Tri-Disaster Ramuh 37372
00:00:32.8610000		Yujin Ahn Storm's Eye Ramuh 11254
00:00:32.8610000		Yujin Ahn gains Storm's Eye from Yujin Ahn
00:00:32.8610000		Dan Tam Spinning Edge Ramuh 8568
00:00:32.9500000		Dengue Fever Dia Ramuh 7963
00:00:32.9500000		Ramuh gains Dia from Dengue Fever
00:00:32.9500000		Yoo Rose prepares Aetherpact on Yoo Rose +239 (CRITICAL)
00:00:32.9950000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:33.0390000		Demi-Bahamut Wyrmwave Ramuh 10200
00:00:33.0850000		Blue Fever prepares Bloodletter on Ramuh 13651 (CRITICAL)
00:00:33.1290000		Blue Fever Shot Ramuh 3932
00:00:33.4860000		Blue Fever Refulgent Arrow Ramuh 15578
00:00:33.5750000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:33.5750000		Ruby Carbuncle gains Well Fed from Yoo Rose
00:00:33.5750000		Ruby Carbuncle gains Summon Order IV from Ruby Carbuncle
00:00:33.6200000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:33.6650000		Run Escape gains Surge Protection from 
00:00:33.6650000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:33.7090000		Run Escape prepares Ruin III on Ramuh 13901
00:00:33.7540000		Minju Rose prepares Holy Spirit on Ramuh 14661
00:00:33.8880000		Yujin Ahn prepares Defiance on Yujin Ahn 
00:00:33.8880000		Yujin Ahn gains Defiance from Yujin Ahn
00:00:34.1110000		Demi-Bahamut prepares Wyrmwave on Ramuh 8516
00:00:34.1110000		Dengue Fever prepares Regen on Minju Rose +158 (CRITICAL)
00:00:34.1110000		Dan Tam prepares Attack on Ramuh 4623 (DIRECT HIT)
00:00:34.2890000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:34.3790000		Blue Fever prepares Mage's Ballad on Ramuh 4746 (DIRECT HIT)
00:00:34.3790000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:34.3790000		Demi-Bahamut gains Mage's Ballad from Blue Fever
00:00:34.3790000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:34.3790000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:34.3790000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:34.3790000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:34.3790000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:34.3790000		Dan Tam gains Mage's Ballad from Blue Fever
00:00:34.3790000		Run Escape gains Mage's Ballad from Blue Fever
00:00:34.4680000		Run Escape gains Aetherflow from Run Escape
00:00:34.4680000		Run Escape prepares Energy Drain on Ramuh 7216
00:00:34.5120000		Minju Rose Holy Spirit Ramuh 14661
00:00:34.5120000		Run Escape Ruin III Ramuh 13901
00:00:34.6020000		Dan Tam prepares Gust Slash on Ramuh 12707
00:00:34.6460000		Dan Tam Attack Ramuh 4623
00:00:34.6910000		Blue Fever Bloodletter Ramuh 13651
00:00:34.6910000		Ruby Carbuncle prepares Burning Strike on Ramuh 4174
00:00:34.8690000		The limit break guage has been updated to 2040. 3 bars are available.
00:00:34.9140000		Dengue Fever prepares Divine Benison on Minju Rose 
00:00:35.0040000		Blue Fever Mage's Ballad Ramuh 4746
00:00:35.0040000		Dan Tam Gust Slash Ramuh 12707
00:00:35.0930000		Blue Fever prepares Burst Shot on Ramuh 11086
00:00:35.1380000		Minju Rose gains Regen from Dengue Fever
00:00:35.2710000		Ruby Carbuncle prepares Devotion on Dan Tam 
00:00:35.2710000		Ruby Carbuncle prepares Devotion on Run Escape 
00:00:35.2710000		Ruby Carbuncle prepares Devotion on Yoo Rose 
00:00:35.3610000		Run Escape gains Aetherflow from Run Escape
00:00:35.3610000		Run Escape prepares Fester on Ramuh 42610 (CRITICAL)
00:00:35.4500000		Blue Fever prepares Shot on Ramuh 7548 (CRITICAL)
00:00:35.4940000		Ruby Carbuncle Burning Strike Ramuh 4174
00:00:35.4940000		Run Escape Energy Drain Ramuh 7216
00:00:35.5380000		Ramuh prepares Judgment Jolt on Ramuh 19366
00:00:35.6720000		Dengue Fever prepares Lucid Dreaming on Dengue Fever 
00:00:35.7170000		Minju Rose gains Divine Benison from Dengue Fever
00:00:35.8510000		Blue Fever prepares Bloodletter on Ramuh 8755 (DIRECT HIT)
00:00:36.0740000		Dan Tam gains Devotion from Ruby Carbuncle
00:00:36.1180000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:36.2080000		Blue Fever Shot Ramuh 7548
00:00:36.2080000		Run Escape gains Devotion from Ruby Carbuncle
00:00:36.2080000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:36.2080000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:36.2080000		Ifrit-Egi gains Medicated from Run Escape
00:00:36.2080000		Ifrit-Egi gains Devotion from Ruby Carbuncle
00:00:36.2520000		Minju Rose prepares Holy Spirit on Ramuh 13923
00:00:36.2960000		Dengue Fever gains Lucid Dreaming from Dengue Fever
00:00:36.2960000		Run Escape Fester Ramuh 42610
00:00:36.3410000		Yoo Rose gains Devotion from Ruby Carbuncle
00:00:36.3410000		Ruby Carbuncle gains Devotion from Ruby Carbuncle
00:00:36.3850000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:36.5190000		Ramuh prepares Judgment Jolt on  
00:00:36.5190000		Ramuh prepares Judgment Jolt on Dan Tam 999999
00:00:36.5190000		Ramuh prepares Judgment Jolt on  
00:00:36.5630000		Blue Fever Burst Shot Ramuh 11086
00:00:36.6970000		Dan Tam prepares Ten on Dan Tam 
00:00:36.6970000		Dan Tam gains Mudra from Dan Tam
00:00:36.7410000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:36.7410000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:00:36.7410000		Blue Fever prepares Empyreal Arrow on Ramuh 14192 (DIRECT HIT)
00:00:36.8300000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:36.8300000		Yoo Rose prepares Energy Drain on Ramuh 12652 (CRITICAL)
00:00:36.8740000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:36.8740000		Ifrit-Egi gains Summon Order from Ramuh
00:00:37.0080000		Minju Rose Holy Spirit Ramuh 13923
00:00:37.0980000		Ruby Carbuncle prepares Flaming Crush on Ramuh 13569
00:00:37.4090000		Aihyooni Yoomi prepares Broil III on Ramuh 27876 (CRITICAL)
00:00:37.4530000		Blue Fever Bloodletter Ramuh 8755
00:00:37.4530000		Blue Fever prepares Bloodletter on Ramuh 9100 (DIRECT HIT)
00:00:37.5860000		Ifrit-Egi prepares Burning Strike on Ramuh 4333
00:00:37.6310000		Yoo Rose gains Aetherflow from Yoo Rose
00:00:37.6310000		Yoo Rose prepares Fester on Ramuh 38638 (CRITICAL)
00:00:37.6760000		Ruby Carbuncle prepares Burning Strike on Ramuh 4333
00:00:37.7650000		Blue Fever Empyreal Arrow Ramuh 14192
00:00:37.8540000		Yoo Rose Energy Drain Ramuh 12652
00:00:37.8540000		The limit break guage has been updated to 2210. 3 bars are available.
00:00:38.1660000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 16451 (DIRECT HIT)
00:00:38.2110000		Aihyooni Yoomi Broil III Ramuh 27876
00:00:38.2550000		Ruby Carbuncle Flaming Crush Ramuh 13569
00:00:38.2550000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:38.2550000		Yujin Ahn gains Surge Protection from 
00:00:38.3880000		Ifrit-Egi Burning Strike Ramuh 4333
00:00:38.4780000		Ruby Carbuncle Burning Strike Ramuh 4333
00:00:38.5230000		Blue Fever prepares Shot on Ramuh 5033 (DIRECT HIT)
00:00:38.5230000		Dengue Fever prepares Medica II on Dengue Fever +14306 (CRITICAL)
00:00:38.5230000		Dengue Fever prepares Medica II on Blue Fever +9189
00:00:38.5230000		Dengue Fever prepares Medica II on Aihyooni Yoomi +9283
00:00:38.5230000		Dengue Fever prepares Medica II on Yoo Rose +9258
00:00:38.5230000		Dengue Fever prepares Medica II on Yujin Ahn +8849
00:00:38.5230000		Dengue Fever prepares Medica II on Minju Rose +14438 (CRITICAL)
00:00:38.5230000		Dengue Fever prepares Medica II on Run Escape +8889
00:00:38.5670000		Yoo Rose Fester Ramuh 38638
00:00:38.7460000		Minju Rose prepares Holy Spirit on Ramuh 14386
00:00:38.7460000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:00:38.7900000		Ifrit-Egi Crimson Cyclone Ramuh 16451
00:00:38.7900000		Run Escape gains Mage's Ballad from Blue Fever
00:00:38.7900000		Run Escape gains Further Ruin from Run Escape
00:00:38.9240000		Blue Fever prepares Burst Shot on Ramuh 17939 (CRITICAL)
00:00:39.0570000		Blue Fever Bloodletter Ramuh 9100
00:00:39.1460000		Dan Tam dies.
00:00:39.2800000		Blue Fever Shot Ramuh 5033
00:00:39.3690000		Ramuh Judgment Jolt  0
00:00:39.3690000		Dengue Fever gains Medica II from Dengue Fever
00:00:39.3690000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:00:39.3690000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:39.3690000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:39.3690000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:39.3690000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:39.3690000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:39.3690000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:39.3690000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:39.3690000		Run Escape gains Mage's Ballad from Blue Fever
00:00:39.4130000		Ifrit-Egi prepares Flaming Crush on Ramuh 17629 (DIRECT HIT)
00:00:39.5020000		Minju Rose Holy Spirit Ramuh 14386
00:00:39.5020000		Ramuh Judgment Jolt  0
00:00:39.5020000		Blue Fever gains Medica II from Dengue Fever
00:00:39.5470000		Minju Rose prepares Intervene on Ramuh 5641
00:00:39.6360000		Ramuh Judgment Jolt  0
00:00:39.6360000		Aihyooni Yoomi gains Medica II from Dengue Fever
00:00:39.7690000		Yoo Rose gains Medica II from Dengue Fever
00:00:39.9030000		Yujin Ahn gains Medica II from Dengue Fever
00:00:39.9920000		Minju Rose prepares Attack on Ramuh 3660 (CRITICAL)
00:00:40.0370000		Dengue Fever Medica II Minju Rose 14438
00:00:40.0370000		Minju Rose gains Medica II from Dengue Fever
00:00:40.1270000		Minju Rose Intervene Ramuh 5641
00:00:40.1270000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 16810 (DIRECT HIT)
00:00:40.1710000		Run Escape gains Medica II from Dengue Fever
00:00:40.2160000		Aihyooni Yoomi prepares Broil III on Ramuh 23672 (DIRECT HIT)
00:00:40.3050000		Yujin Ahn gains Surge Protection from 
00:00:40.3940000		Blue Fever Burst Shot Ramuh 17939
00:00:40.4830000		Yoo Rose prepares Ruin III on Ramuh 16635 (DIRECT HIT)
00:00:40.5280000		Minju Rose Attack Ramuh 3660
00:00:40.5720000		Ifrit-Egi Flaming Crush Ramuh 17629
00:00:40.5720000		Run Escape gains Further Ruin from Run Escape
00:00:40.7060000		Ruby Carbuncle prepares Burning Strike on Ramuh 4217
00:00:40.7500000		Ruby Carbuncle Crimson Cyclone Ramuh 16810
00:00:40.7500000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:40.8840000		The limit break guage has been updated to 2380. 3 bars are available.
00:00:41.0160000		Aihyooni Yoomi Broil III Ramuh 23672
00:00:41.0610000		Ifrit-Egi prepares Burning Strike on Ramuh 4292
00:00:41.2400000		Minju Rose prepares Confiteor on Ramuh 32289
00:00:41.2840000		Yoo Rose Ruin III Ramuh 16635
00:00:41.4620000		Blue Fever prepares Burst Shot on Ramuh 13085 (DIRECT HIT)
00:00:41.5060000		Ruby Carbuncle Burning Strike Ramuh 4217
00:00:41.5950000		Blue Fever gains Surge Protection from 
00:00:41.5950000		Blue Fever prepares Shot on Ramuh 4148
00:00:41.7730000		Minju Rose gains Surge Protection from 
00:00:41.8630000		Minju Rose Confiteor Ramuh 32289
00:00:41.8630000		Ifrit-Egi Burning Strike Ramuh 4292
00:00:42.3530000		Blue Fever Shot Ramuh 4148
00:00:42.3530000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:42.3530000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:42.3530000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:42.3530000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:42.3530000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:42.3530000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:42.3530000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:42.3530000		Run Escape gains Mage's Ballad from Blue Fever
00:00:42.5750000		Dengue Fever prepares Glare on Ramuh 20568
00:00:42.6640000		Ramuh prepares Executor Summons on Ramuh 19388
00:00:42.9320000		Blue Fever Burst Shot Ramuh 13085
00:00:43.0210000		Yujin Ahn prepares Attack on Ramuh 6149 (CRITICAL)
00:00:43.1540000		Ramuh prepares Unknown_4Bc9 on Minju Rose +0 (CRITICAL)
00:00:43.2440000		Aihyooni Yoomi prepares Broil III on Ramuh 18722
00:00:43.2440000		Run Escape prepares Ruin III on Ramuh 14346
00:00:43.2890000		Minju Rose prepares Attack on Ramuh 2281
00:00:43.2890000		Yoo Rose prepares Ruin III on Ramuh 16024 (DIRECT HIT)
00:00:43.5560000		Yujin Ahn Attack Ramuh 6149
00:00:43.6450000		Yujin Ahn prepares Heavy Swing on Ramuh 9836 (CRITICAL)
00:00:43.7340000		Minju Rose prepares Fast Blade on Ramuh 5165
00:00:43.8230000		Minju Rose Attack Ramuh 2281
00:00:43.8680000		Dengue Fever Glare Ramuh 20568
00:00:43.8680000		The limit break guage has been updated to 2550. 3 bars are available.
00:00:43.9130000		Blue Fever prepares Burst Shot on Ramuh 10863
00:00:43.9570000		Ramuh Unknown_4Bc9 Minju Rose 0
00:00:43.9570000		Ruby Carbuncle prepares Burning Strike on Ramuh 4443
00:00:44.0460000		Aihyooni Yoomi Broil III Ramuh 18722
00:00:44.0460000		Run Escape Ruin III Ramuh 14346
00:00:44.0900000		Yoo Rose Ruin III Ramuh 16024
00:00:44.1780000		Yujin Ahn Heavy Swing Ramuh 9836
00:00:44.3130000		Ifrit-Egi prepares Burning Strike on Ramuh 4548
00:00:44.3570000		Minju Rose Fast Blade Ramuh 5165
00:00:44.6690000		Blue Fever prepares Shot on Ramuh 3983
00:00:44.7580000		Ruby Carbuncle Burning Strike Ramuh 4443
00:00:45.1150000		Ifrit-Egi Burning Strike Ramuh 4548
00:00:45.1150000		Yujin Ahn gains Surge Protection from 
00:00:45.3820000		Blue Fever Burst Shot Ramuh 10863
00:00:45.3820000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:45.3820000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:45.3820000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:45.3820000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:45.3820000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:45.3820000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:45.3820000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:45.3820000		Run Escape gains Mage's Ballad from Blue Fever
00:00:45.4260000		Blue Fever Shot Ramuh 3983
00:00:45.5600000		Minju Rose prepares Attack on Ramuh 2202
00:00:45.7380000		Run Escape prepares Miasma III on Ramuh 3157
00:00:45.8270000		Dengue Fever prepares Glare on Ramuh 30897 (CRITICAL)
00:00:46.0950000		Minju Rose Attack Ramuh 2202
00:00:46.0950000		Minju Rose prepares Riot Blade on Ramuh 8021
00:00:46.1830000		Ramuh prepares Unknown_4Bc9 on Minju Rose 25564
00:00:46.2280000		Yujin Ahn prepares Maim on Ramuh 8831
00:00:46.3620000		Run Escape Miasma III Ramuh 3157
00:00:46.3620000		Ramuh gains Miasma III from Run Escape
00:00:46.3620000		Blue Fever prepares Burst Shot on Ramuh 10587
00:00:46.3620000		Yoo Rose prepares Ruin III on Ramuh 26938 (CRITICAL)
00:00:46.3620000		Aihyooni Yoomi prepares Broil III on Ramuh 17248
00:00:46.4070000		Yujin Ahn prepares Attack on Ramuh 3815
00:00:46.4960000		Run Escape prepares Bio III on Ramuh +1214 (CRITICAL)
00:00:46.4960000		Ramuh gains Bio III from Run Escape
00:00:46.8540000		Minju Rose Riot Blade Ramuh 8021
00:00:46.8540000		Yujin Ahn Maim Ramuh 8831
00:00:46.8540000		The limit break guage has been updated to 2720. 3 bars are available.
00:00:46.9430000		Yujin Ahn Attack Ramuh 3815
00:00:46.9870000		Ramuh Unknown_4Bc9 Minju Rose 25564
00:00:46.9870000		Yujin Ahn prepares Upheaval on Ramuh 14401
00:00:47.1210000		Dengue Fever Glare Ramuh 30897
00:00:47.1650000		Yoo Rose Ruin III Ramuh 26938
00:00:47.1650000		Aihyooni Yoomi Broil III Ramuh 17248
00:00:47.2100000		Ruby Carbuncle prepares Burning Strike on Ramuh 5309 (DIRECT HIT)
00:00:47.3880000		Run Escape prepares Fester on Ramuh 20162
00:00:47.5660000		Ifrit-Egi prepares Burning Strike on Ramuh 4377
00:00:47.6110000		Yujin Ahn Upheaval Ramuh 14401
00:00:47.7450000		Blue Fever prepares Shot on Ramuh 4081
00:00:47.8340000		Blue Fever Burst Shot Ramuh 10587
00:00:47.8340000		Minju Rose prepares Attack on Ramuh 2281
00:00:48.0110000		Ruby Carbuncle Burning Strike Ramuh 5309
00:00:48.0560000		Eos prepares Embrace on Minju Rose +6905 (CRITICAL)
00:00:48.3240000		Run Escape Fester Ramuh 20162
00:00:48.3680000		Minju Rose Attack Ramuh 2281
00:00:48.3680000		Ifrit-Egi Burning Strike Ramuh 4377
00:00:48.3680000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:48.3680000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:48.3680000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:48.3680000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:48.3680000		Eos gains Well Fed from Aihyooni Yoomi
00:00:48.3680000		Eos gains Mage's Ballad from Blue Fever
00:00:48.3680000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:48.3680000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:48.3680000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:48.3680000		Run Escape gains Mage's Ballad from Blue Fever
00:00:48.4120000		Blue Fever prepares Bloodletter on Ramuh 7396
00:00:48.4570000		Raiden prepares Unknown_4E61 on Yujin Ahn 9044
00:00:48.5020000		Blue Fever Shot Ramuh 4081
00:00:48.5020000		Minju Rose prepares Goring Blade on Ramuh 10554
00:00:48.6790000		Eos Embrace Minju Rose 6905
00:00:48.9470000		Yujin Ahn prepares Storm's Path on Ramuh 12161
00:00:49.0350000		Minju Rose Goring Blade Ramuh 10554
00:00:49.0350000		Ramuh gains Goring Blade from Minju Rose
00:00:49.0800000		Blue Fever prepares Burst Shot on Ramuh 13820 (DIRECT HIT)
00:00:49.1700000		Yoo Rose prepares Ruin III on Ramuh 16619 (DIRECT HIT)
00:00:49.2140000		Dengue Fever prepares Glare on Ramuh 19436
00:00:49.3470000		Aihyooni Yoomi prepares Broil III on Ramuh 18802
00:00:49.4810000		Raiden Unknown_4E61 Yujin Ahn 9044
00:00:49.7040000		Yujin Ahn prepares Onslaught on Ramuh 3157
00:00:49.7930000		Yujin Ahn prepares Attack on Ramuh 3972
00:00:49.8830000		The limit break guage has been updated to 2890. 3 bars are available.
00:00:49.9710000		Yoo Rose Ruin III Ramuh 16619
00:00:50.0160000		Blue Fever Bloodletter Ramuh 7396
00:00:50.1050000		Minju Rose prepares Attack on Ramuh 2331
00:00:50.1490000		Aihyooni Yoomi Broil III Ramuh 18802
00:00:50.3270000		Yujin Ahn Onslaught Ramuh 3157
00:00:50.3270000		Yujin Ahn Attack Ramuh 3972
00:00:50.4610000		Yujin Ahn Storm's Path Ramuh 12161
00:00:50.4610000		Ruby Carbuncle prepares Burning Strike on Ramuh 4158
00:00:50.5050000		Dengue Fever Glare Ramuh 19436
00:00:50.5500000		Blue Fever Burst Shot Ramuh 13820
00:00:50.6390000		Minju Rose Attack Ramuh 2331
